TEAM,CONF,DIVISION,GP,PTS/GM,aPTS/GM,PTS DIFF,PACE,OEFF,DEFF,EDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
Boston,East,Atlantic,8,118.9,111.5,7.4,101.1,116.1,108.9,7.2,-0.53,0,6.67,12,0.08,5,3,0.625,0.726,0.744,-0.101,L 1
Brooklyn,East,Atlantic,8,119.9,119.9,0,103.7,115.6,115.6,0,-0.25,0,-0.25,13.8,0.002,5,3,0.625,0.5,0.5,0.125,L 1
Dallas,West,Southwest,8,122.5,126.8,-4.3,101,116.7,120.8,-4.1,-0.1,0,-4.2,14.3,-0.035,3,5,0.375,0.388,0.358,-0.013,L 2
Denver,West,Northwest,8,118.5,123.3,-4.8,96.5,118.2,122.9,-4.7,0.01,0,-4.69,12.3,-0.028,3,5,0.375,0.351,0.342,0.024,L 3
Houston,West,Southwest,8,115.3,118.6,-3.3,106.9,106.4,109.5,-3.1,-0.35,0,-3.45,14.8,-0.087,4,4,0.5,0.417,0.391,0.083,L 3
Indiana,East,Central,8,110.3,108.1,2.2,102.3,107.8,105.7,2.1,-0.48,0,1.62,14,0.011,6,2,0.75,0.559,0.572,0.191,W 2
LA Clippers,West,Pacific,8,117.6,111.8,5.8,99.4,116.8,111,5.8,0.06,0,5.86,14.7,0.034,5,3,0.625,0.654,0.691,-0.029,W 2
LA Lakers,West,Pacific,8,106.4,113.4,-7,101.6,104.7,111.6,-6.9,0.07,0,-6.83,13.4,-0.116,3,5,0.375,0.304,0.27,0.071,L 1
Memphis,West,Southwest,8,112.6,113.6,-1,103.1,107.8,108.8,-1,0.61,0,-0.39,15.5,-0.037,2,6,0.25,0.474,0.467,-0.224,W 1
Miami,East,Southeast,8,111.1,110.5,0.6,100.1,111,110.3,0.7,0.09,0,0.79,12.9,-0.017,3,5,0.375,0.522,0.52,-0.147,L 2
Milwaukee,East,Central,8,118.9,118.6,0.3,106,110.7,110.5,0.2,-1.18,0,-0.98,13.5,0.099,3,5,0.375,0.506,0.51,-0.131,L 1
New Orleans,West,Southwest,8,113.1,118.1,-5,102.5,110.4,115.3,-4.9,0.82,0,-4.08,12.6,0.032,2,6,0.25,0.349,0.335,-0.099,L 3
Oklahoma City,West,Northwest,8,107.6,109.4,-1.8,100.1,104.8,106.5,-1.7,0.37,0,-1.33,13.4,-0.018,4,4,0.5,0.449,0.441,0.051,L 1
Orlando,East,Southeast,8,114.6,116,-1.4,100.7,112.4,113.7,-1.3,0.74,0,-0.56,13.6,0.013,3,5,0.375,0.462,0.454,-0.087,W 1
Philadelphia,East,Atlantic,8,120.1,116.4,3.7,100.8,119.2,115.5,3.7,0.67,0,4.37,13.7,0.076,4,4,0.5,0.606,0.622,-0.106,W 1
Phoenix,West,Pacific,8,122.3,109.1,13.2,100.9,121.2,108.2,13,0.52,0,13.52,13.7,0.095,8,0,1,0.829,0.935,0.171,W 8
Portland,West,Northwest,8,126,123.4,2.6,100.8,123.4,120.9,2.5,0.47,0,2.97,12.3,-0.061,6,2,0.75,0.58,0.586,0.17,W 3
Sacramento,West,Pacific,8,119,122,-3,103.2,113.8,116.7,-2.9,1.11,0,-1.79,12.3,-0.035,3,5,0.375,0.407,0.401,-0.032,W 2
San Antonio,West,Southwest,8,121.1,117.1,4,104.4,116.1,112.2,3.9,0.88,0,4.78,12.2,0.027,5,3,0.625,0.626,0.632,-0.001,L 1
Toronto,East,Atlantic,8,110.9,106.4,4.5,103.3,107.3,102.9,4.4,-0.56,0,3.84,12.4,0.074,7,1,0.875,0.639,0.648,0.236,W 4
Utah,West,Northwest,8,113.4,116.5,-3.1,100,110.5,113.6,-3.1,-0.51,0,-3.61,12.6,-0.014,3,5,0.375,0.403,0.398,-0.028,W 1
Washington,East,Southeast,8,104.9,114.5,-9.6,101.5,103.4,112.8,-9.4,-0.1,0,-9.5,12.4,-0.089,1,7,0.125,0.224,0.184,-0.099,W 1
